tick,population,species_count,food_count,average_energy,average_health,herbivores,carnivores,births,deaths
200,213,3,18,95.07,100.13,113,84,104,0
400,166,3,30,90.47,101.92,36,126,157,0
600,162,2,82,70.95,102.73,3,159,194,0
800,172,2,148,48.78,99.78,1,171,207,1
1000,167,1,220,38.29,99.99,0,167,215,13
1200,164,1,293,28.87,92.81,0,164,223,24
1400,152,1,368,34.7,93.18,0,152,241,54
1600,141,1,436,41.41,83.68,0,141,257,81
1800,126,1,493,54.88,78.52,0,126,278,117
2000,118,1,565,55.53,82.19,0,118,295,142
